OID_,OBJECTID_1,OBJECTID_2,RS,Partido,Localidad,Direccion,Establecim,CP,Tel,X,Y,CENTER_ID
,"1,017","1,032",VI,LANUS,Lanus,Avenida Hipolito Irigoyen N°4843,Clínica Modelo de Lanús,B1824,011-42296000,-58.392218399999997,-34.710967189999998,375
,"1,018","1,033",VI,LANUS,Lanus,Viamonte N° 2508,Centro de Rehabilitación Viregen de Fátima(Desintoxicación Drogadependientes),1824, ,-58.416783000000002,-34.688533690000000,376
,"1,019","1,034",VI,LANUS,Lanus,Ituzaingo N° 1829,Centro Médico Lalcec(Filial Lanús),1824,011-424916711,-58.382649290000003,-34.711934290000002,377
,"1,035","1,050",VI,LANUS,Lanus Este,Tucuman N°2979,Centro Odontológico Odonlan,1824,011-42465370,-58.368590689999998,-34.719293489999998,378
,"1,036","1,051",VI,LANUS,Lanus Este,Ituzaingo N° 1354,Pal Medicina Laboral S.R.L.,1824,011-42471440,-58.387183800000003,-34.708711690000001,379
,"1,037","1,052",VI,LANUS,Lanus Este,Margarita Weild N° 1278,Comunidad Terapéutica ANANKE (Rehabilitación Drogadep.),1824, ,-58.389433590000003,-34.709854589999999,380
,"1,038","1,053",VI,LANUS,Lanus Este,Salta N° 1253,CEMFYR San Lázaro (Rehabilitación Psicof.),1824, ,-58.379551390000003,-34.705158099999998,381
,"1,039","1,054",VI,LANUS,Lanus Este,Hipolito Irigoyen N° 4525 PB Dt. D,Domicilio Salud SRL(Internación Domiciliaria),1824, ,-58.391858999999997,-34.707242999999998,382
,"1,040","1,055",VI,LANUS,Lanus Este,Gral. Guido N° 2736,CE.DI.O Centro de Dia Ocupacional Nuevo Espacio,1824, ,-58.369270290000003,-34.715284799999999,383
,"1,041","1,056",VI,LANUS,Lanus Este,Basavilbaso N° 1318,Hogar Geriátrico Nueva Vida,1824, ,-58.381371090000002,-34.704514889999999,384
,"1,042","1,057",VI,LANUS,Lanus Oeste,Aristobulo del Valle N° 135,Clínica Privada Cruz Blanca,1824,011-42490909 int.214,-58.393732700000001,-34.704702990000001,385
,"1,043","1,058",VI,LANUS,Lanus Oeste,Viamonte  N° 815,Clínica Privada Sanatorio Lanús,1824,011-42419032,-58.404296389999999,-34.699249590000001,386
,"1,044","1,059",VI,LANUS,Lanus Oeste,Maximo Paz  N° 546,Clínica Privada de Salud Mental Dr. Gutierrez Walker,B1824KSH,011-42409430,-58.397088689999997,-34.694254999999998,387
,"1,045","1,060",VI,LANUS,Lanus Oeste,Quintana N° 75,Centro Traumatológico Integral(Policlínica),1824, ,-58.393109490000001,-34.710350890000001,388
,"1,046","1,061",VI,LANUS,Lanus Oeste,Enrique Fernandez N° 2274,C.I.P.R.I.J S.A(centro Integral Psicopedagógico de Recuperación Infanto Juvenil S.A.),1724, ,-58.409294989999999,-34.693040889999999,389
,"1,047","1,062",VI,LANUS,Lanus Oeste,Balcarce N° 1552 Villa de los Industriales,Centro Oftalmológico Sala Salud,1824, ,-58.406568800000002,-34.690887099999998,390
,"1,048","1,063",VI,LANUS,Remedios de Escalada,Avenida Hipolito Yrigoyen N° 6063,Sidicato de Empleados Textiles de Ind.y Afines,1826, ,-58.395639989999999,-34.725619989999998,391
,"1,049","1,064",VI,LANUS,Remedios de Escalada,Flores de Estrada N° 5248,Clínica Estrada S.A,1826,011-42397400,-58.396092699999997,-34.735459890000001,392
,"1,073","1,088",VI,LOMAS DE ZAMORA,Banfield,Alvear  N° 1666,Clínica Neuropsiquiátrica San Roque,1828,011-42421646,-58.404261589999997,-34.739666190000001,393
,"1,074","1,089",VI,LOMAS DE ZAMORA,Banfield,Belgrano N° 1303,Clínica Privada Hemodialisis y Diagnostico,1828,011-42421796/42484320,-58.392059740000001,-34.745778840000000,394
,"1,075","1,090",VI,LOMAS DE ZAMORA,Banfield,Belgrano N°1303/9,Clínica Privada Lerena,1828,011-42421796/484320/026293,-58.392077980000003,-34.745841849999998,395
,"1,076","1,091",VI,LOMAS DE ZAMORA,Banfield,Avenida Hipolito Irigoyen N° 7235,Diagnóstico por Imágines Banfield,1828, ,-58.398331800000001,-34.739279390000000,396
,"1,077","1,092",VI,LOMAS DE ZAMORA,Banfield,Avenida Alsina N° 761,Policlínica Centro Privado de Especialidades Médicas,1828, ,-58.393665089999999,-34.745108790000003,397
,"1,078","1,093",VI,LOMAS DE ZAMORA,Banfield,AvenidaHipolito Yrigoyen N° 7128,Policlínica Privada Centro Diagnóstico Integral,1828,011-42488042,-58.397832500000000,-34.738021689999997,398
,"1,079","1,094",VI,LOMAS DE ZAMORA,Banfield,Alsina N° 281,Centro de Ojos Banfield,B1828,011-42488563,-58.392635689999999,-34.739498699999999,399
,"1,095","1,110",VI,LOMAS DE ZAMORA,Lavallol,Doyhenard N° 296,Hospital Vecinal Ciudad de Llavallol,1836,011-42980515,-58.424118989999997,-34.800790499999998,400
,"1,096","1,111",VI,LOMAS DE ZAMORA,Lavallol,Luzuriaga N° 246,Centro Médico Laboral Luzuriaga S.R.L.,B1836DKF,011-42310341,-58.431104499999996,-34.793888789999997,401
,"1,097","1,112",VI,LOMAS DE ZAMORA,Lavallol,Piedra Buena N° 310,Centro Terapéutico Savia (Drogadependientes),1836, ,-58.430660099999997,-34.794191390000002,402
,"1,098","1,113",VI,LOMAS DE ZAMORA,Lavallol,Garibaldi N°2348,Hogar y Centro de Día El Sol del Sur,1836, ,-58.431798489999998,-34.784367590000002,403
,"1,099","1,114",VI,LOMAS DE ZAMORA,Lavallol,Avenida Antartida Argentina N° 1698 y Doyhenard,Centro Médico Malvinas Argentinas CEMMA(Policlínica),1836, ,-58.425874200000003,-34.798441900000000,404
,"1,100","1,115",VI,LOMAS DE ZAMORA,Lavallol,Segui N° 468,Policlínica Privada Centro Médico Segui,1836, ,-58.427071400000003,-34.815471500000001,405
,"1,101","1,116",VI,LOMAS DE ZAMORA,Lomas de Zamora,Maipu N° 497,Sala de Primeros Auxilios Dr. Manuel Ricci,1832, ,-58.388917999999997,-34.743891490000003,406
,"1,102","1,117",VI,LOMAS DE ZAMORA,Lomas de Zamora,Larroque N° 1205,Sala Mas Bondad de Corazón,1832, ,-58.412498990000003,-34.742963690000003,407
,"1,103","1,118",VI,LOMAS DE ZAMORA,Lomas de Zamora,Avenida H.Irigoyen N° 8439,Policlínico Lomas,1832,011-42440051/52/9973/1174,-58.401158789999997,-34.753437589999997,408
,"1,104","1,119",VI,LOMAS DE ZAMORA,Lomas de Zamora,Dr. Manuel A. Acevedo N° 253,Clínica Materno Infantil Supramed S.A,1832,011-42438050/8058/8056,-58.400495190000001,-34.757548489999998,409
,"1,105","1,120",VI,LOMAS DE ZAMORA,Lomas de Zamora,Bustamante N° 1694,Hogar de Día Vida,1832, ,-58.423355700000002,-34.767152699999997,410
,"1,106","1,121",VI,LOMAS DE ZAMORA,Lomas de Zamora,Mariano Boedo N° 535/49,Clínica Boedo,1832,011-42921111/7422/850453537,-58.404267789999999,-34.758895090000003,411
,"1,107","1,122",VI,LOMAS DE ZAMORA,Lomas de Zamora,Dr. Adolfo Alsina N° 1519/21,Sanatorio Privado del Niño,1832,011-42444533/42452258,-58.395164139999999,-34.754357319999997,412
,"1,108","1,123",VI,LOMAS DE ZAMORA,Lomas de Zamora,Boedo N° 771,Centro Privado de Traumatologia y Ortopedia,1832, ,-58.407802500000003,-34.758330000000001,413
,"1,109","1,124",VI,LOMAS DE ZAMORA,Lomas de Zamora,Acevedo N° 365,Centro de Terapia Radiante Acevedo,1832, ,-58.400218799999998,-34.756250989999998,414
,"1,123","1,138",VI,LOMAS DE ZAMORA,Lomas de Zamora,Portela N° 866,Residencia Geriatrica El Rosal,1832, ,-58.408663089999997,-34.755814690000001,415
,"1,124","1,139",VI,LOMAS DE ZAMORA,Lomas de Zamora,Rivera N° 370,Comunidad Terapéutica Aliwen,1832, ,-58.401101099999998,-34.755692699999997,416
,"1,125","1,140",VI,LOMAS DE ZAMORA,Lomas de Zamora,Italia N° 170,Asociación Mutual Empleados de Comercio,1832, ,-58.401392690000002,-34.762537999999999,417
,"1,126","1,141",VI,LOMAS DE ZAMORA,Lomas de Zamora,Avenida Hipolito Irigoyen N° 9483,IMA Mujer,1832, ,-58.403686690000001,-34.765130800000001,418
,"1,127","1,142",VI,LOMAS DE ZAMORA,Lomas de Zamora,Hipolito Irigoyen N° 8389,Policlínica Privada DIANFER Salud,1832, ,-58.401067290000000,-34.753010490000001,419
,"1,128","1,143",VI,LOMAS DE ZAMORA,Lomas de Zamora,Portella 518/34,Policlínica Privada Centro Pediátrico Lomas S.R.L,1832, ,-58.403568589999999,-34.756554090000002,420
,"1,129","1,144",VI,LOMAS DE ZAMORA,Lomas de Zamora,Sarandi N° 199,Centro de Ojos del Sur Bonaerense,1832, ,-58.395203989999999,-34.762576400000000,421
,"1,130","1,145",VI,LOMAS DE ZAMORA,Lomas de Zamora,Avenida Hipolito Yrigoyen N° 9384,Centro Médico Emergencias Sociedad Anónima,1832, ,-58.403487490000003,-34.764834499999999,422
,"1,131","1,146",VI,LOMAS DE ZAMORA,Lomas de Zamora,Alvarez Thomas N° 1204/06,El Amancer(Hogar Geriátrico),1832, ,-58.415247790000002,-34.770859090000002,423
,"1,132","1,147",VI,LOMAS DE ZAMORA,Lomas de Zamora,Bartolome Mitre N° 283,Consultorios Medicos De Clinica y Pediatria,1832, ,-58.401630290000000,-34.765196390000000,424
,"1,133","1,148",VI,LOMAS DE ZAMORA,Lomas de Zamora,Saenz N° 637,"Elevar Obra Social Trabajadores Pasteleros,Confiteros,Pizzeros,Heladeros,y Alfajoreros de la Republica Argentina",1832, ,-58.405452099999998,-34.757389189999998,425
,"1,134","1,149",VI,LOMAS DE ZAMORA,Lomas de Zamora,Sarmiento N° 250,Instituto Médico Sarmiento,1832, ,-58.404651590000000,-34.763144390000001,426
,"1,135","1,150",VI,LOMAS DE ZAMORA,Lomas de Zamora,Viamonte N° 452,Geriatrico San Jorge,1832, ,-58.391292100000001,-34.756454589999997,427
,"1,136","1,151",VI,LOMAS DE ZAMORA,Lomas de Zamora,Juan Domingo Peron N° 81 (ex 10 de Septiembre de 1861 N° 81,Residencia Geriátrica Nuetro Hogar SA,1832, ,-58.433643490000001,-34.764947290000002,428
,"1,137","1,152",VI,LOMAS DE ZAMORA,Lomas de Zamora,Pereyra Lucena N° 575,"Instituto de Obstetricia, Ginecología y Fertilidad(Policlínica)",1832, ,-58.403870599999998,-34.754076300000001,429
,"1,152","1,167",VI,LOMAS DE ZAMORA,Temperley,Lavalle N° 1652,Hogar Geriátrico Lomas de Lavalle,1834, ,-58.418033489999999,-34.781916199999998,430
,"1,153","1,168",VI,LOMAS DE ZAMORA,Temperley,Alemandri N° 1697,Hogar Geriátrico Araucaria,1834, ,-58.396928500000001,-34.770910499999999,431
,"1,154","1,169",VI,LOMAS DE ZAMORA,Temperley,Jacinto Rosso N° 767,La Casa de Juanita Centro Educativo Terapéutico,1834, ,-58.385659400000002,-34.778475999999998,432
,"1,155","1,170",VI,LOMAS DE ZAMORA,Temperley,Eva Peron N° 320,Comunidad Terapéutica Annanka(Desintoxicación de Drogadependientes),1834, ,-58.394045290000001,-34.778472399999998,433
,"1,156","1,171",VI,LOMAS DE ZAMORA,Temperley,La Calandria N° 3252,Centro Médico Quirúrgico Temperley,B1834CFL,011-42643003,-58.359176890000001,-34.761564589999999,434
,"1,157","1,172",VI,LOMAS DE ZAMORA,TURDERA,Pretti N°300,Clínica Privada de Reposo Nuestra Señora de Betharran,1832, ,-58.408053799999998,-34.795316390000004,435
,"1,158","1,173",VI,LOMAS DE ZAMORA,TURDERA,9 de Julio N° 894,Centro de Atención Primaria Delegación Temperley,1832, ,-58.407466890000002,-34.785764589999999,436
,"1,183","1,198",V,MALVINAS ARGENTINAS,Los Polvorines,Lourdes N° 2995,Centro de Diálisis Diaverum ArgentinA(Sede Malvinas Argentinas),1613, ,-58.715921799999997,-34.520246389999997,437
,"1,184","1,199",V,MALVINAS ARGENTINAS,Los Polvorines,Tres Arroyos N° 4242,Residencia Geriátrica Rincón del Bosque,1613, ,-58.694305600000000,-34.489114989999997,438
,"1,185","1,200",V,MALVINAS ARGENTINAS,Los Polvorines,Darragueira N° 962,Clínica Privada Neuropsiquiátrica  Día San Miguel,1613, ,-58.708366089999998,-34.518057300000002,439
,"1,186","1,201",V,MALVINAS ARGENTINAS,Los Polvorines,J. M. Gutierrez N° 251,Hogar y Centro de Día Pequeño Cotolengo Argentino Don Orione,1613, ,-58.706586790000003,-34.526792690000001,440
,"1,187","1,202",V,MALVINAS ARGENTINAS,Pablo Nogues,Murcia N° 2343,Hogar San Francisco de Asís,1615, ,-58.708336789999997,-34.488557589999999,441
,"1,188","1,203",V,MALVINAS ARGENTINAS,Tortuguitas,Colombia N° 360,Asociación Civil Nuestra Vida Centro de Prevención y Asistencia a las Adicciones,1667, ,-58.751442089999998,-34.475666490000002,442
,"1,189","1,204",V,MALVINAS ARGENTINAS,Tortuguitas,Almirante Brown N° 3697,Juntos Podemos(Desintoxicación de Drogadependientes),1667, ,-58.755264789999998,-34.474113690000003,443
,"1,190","1,205",VII,MARCOS PAZ,Marcos Paz,25 de Mayo N° 70,Clínica Privada Provincial Marcos Paz,1727,0220-4773990/3313,-58.838222790000003,-34.783087289999997,444
,"1,191","1,206",VII,MARCOS PAZ,Marcos Paz,Tucuman N° 700,Hogar y Centro de Día Uurarum(Discapacitados),1727, ,-58.834983899999997,-34.766485189999997,445
,"1,192","1,207",VII,MARCOS PAZ,Marcos Paz,Roque Saenz Pena N° 143,Centro Horus(policlínica),1727, ,-58.836287900000002,-34.784836599999998,446
,"1,193","1,208",VII,MARCOS PAZ,Marcos Paz,Marcos Paz N° 1076,Comunidad Terapéutica Programa Metamorfosis(Desintoxicación de Drogadependientes),1727, ,-58.896452289999999,-34.798085499999999,447
,"1,194","1,209",VII,MARCOS PAZ,Marcos Paz,Fiorito N° 66340,Comunidad Terapéutica Aciar El Reparo(Desintoxicación de Drogadependientes),1727, ,-58.837779500000003,-34.782335799999998,448
,"1,212","1,227",VII,MERLO,Mariano Acosta,Guamini N° 1935,Comunidad Terapéutica Pascua(Desintoxicación Drogadependientes),1723, ,-58.837865700000002,-34.686541290000001,449
,"1,213","1,228",VII,MERLO,Mariano Acosta,Superi N° 840,Policlínica UNISOL SALUD,1722, ,-58.788831590000001,-34.726449000000002,450
,"1,214","1,229",VII,MERLO,Merlo,Avenida Del Libertador N° 295,Clínica Merlo S.A.,B1722ERC,0220-4833559,-58.724649090000000,-34.671171889999997,451
,"1,215","1,230",VII,MERLO,Merlo,Bolivar N° 768,ICME (Instituto Cardivascular),1722, ,-58.726436690000000,-34.671773590000001,452
,"1,216","1,231",VII,MERLO,Merlo,Garay N° 2260,Clínica Provincial de Merlo,1722,0220-4855555,-58.726898700000000,-34.662562899999998,453
,"1,217","1,232",VII,MERLO,Merlo,Peyret N° 1722,Consultorios Médicos Peyret,1722, ,-58.728248290000003,-34.668500389999998,454
,"1,218","1,233",VII,MERLO,Merlo,Pasteur Nª 547,Consultorios Médicos Santa Bárbara,1722, ,-58.721831000000002,-34.667070989999999,455
,"1,219","1,234",VII,MERLO,Merlo,Juncal Nª 248,Clínica Privada Monovalente Centro de Ojos  Merlo,B1722ESF,0220-4830432,-58.725566989999997,-34.672108899999998,456
,"1,220","1,235",VII,MERLO,Merlo,Tala N° 1370,MEDINT(Internación Domiciliaria),1722, ,-58.723277590000002,-34.652061000000003,457
,"1,221","1,236",VII,MERLO,Merlo,Avenida Sarandi N° 727/29,Policonsultorios OSECAC,1722, ,-58.726034400000003,-34.666033400000003,458
,"1,222","1,237",VII,MERLO,Merlo,Bolivar N° 422,L'ALTRA Salud (Policlínica),1722, ,-58.722944599999998,-34.670621099999998,459
,"1,223","1,238",VII,MERLO,Merlo,Maipu N° 1180,Consultorios Médicos Maipú,1722, ,-58.731937289999998,-34.670771299999998,460
,"1,224","1,239",VII,MERLO,Merlo,Avellaneda N° 439,Consultorios de Ortopedia y Traumatología,1722, ,-58.723452389999999,-34.668876390000001,461
,"1,225","1,240",VII,MERLO,Merlo,Juan Manuel de Rosas N° 855,Centro de Rehabilitación Cri Merlo(Rehabilitación Psicofísica),1722, ,-58.729958089999997,-34.666530899999998,462
,"1,226","1,241",VII,MERLO,Merlo,Juncal N° 550,Diagnóstico Merlo(Policlínica),1722, ,-58.727110799999998,-34.668584389999999,463
,"1,227","1,242",VII,MERLO,Merlo,Mariano Acosta N° 540,Hogar Geriátrico Rocío de Miel, , ,-58.719490090000001,-34.660637790000003,464
,"1,228","1,243",VII,MERLO,Merlo,Juncal N° 253,Planificación Familiar Policlínica,1722, ,-58.725458590000002,-34.672001790000003,465
,"1,229","1,244",VII,MERLO,Parque San Martin,Murray N° 690,SERVICENTER SALUD(Internación Domiciliaria),1722, ,-58.732148090000003,-34.686591890000003,466
,"1,244","1,259",VII,MORENO,Moreno,Uruguay  N° 637,Clínica Mariano Moreno,B1744AJD,0237-4635000,-58.784670699999999,-34.643798189999998,467
,"1,245","1,260",VII,MORENO,Moreno,Belgrano N° 430,Policlínica Privada  O.S.P.I.A.,1744,0237-4663803,-58.787001189999998,-34.645761489999998,468
,"1,246","1,261",VII,MORENO,Moreno,Aristobulo del Valle  N° 2629,Clínica Privada Alcorta,1744,0237-4632277 int. 109,-58.789035200000001,-34.653336899999999,469
,"1,247","1,262",VII,MORENO,Moreno,Uruguay N° 87,Policlínica "" L'Altra Salud"",1744,0237-4635658,-58.787177300000003,-34.649904190000001,470
,"1,248","1,263",VII,MORENO,Moreno,Rivadavia N° 902,Centro de Diálisis Fresenius Medical Care,1744, ,-58.790158190000000,-34.638902080000001,471
,"1,249","1,264",VII,MORENO,Moreno,Bethoven N° 1702,Centro de Día CREE,1744, ,-58.821165999999998,-34.661764499999997,472
,"1,250","1,265",VII,MORENO,Moreno,Teniente Camilli N° 765,Hogar para personas con necesidades especiales y Centro de Día Luz del Alma,1744, ,-58.792185490000001,-34.640064090000003,473
,"1,251","1,266",VII,MORENO,Moreno,Avenida Libertador N° 2085,Fundación Quiero Vivir(Rehabilitación Drogadependientes),1744, ,-58.779026389999999,-34.627914099999998,474
,"1,252","1,267",VII,MORENO,Moreno,Monsegur N° 2701,CREE Centro de Día Santa Clara,1744, ,-58.825034400000000,-34.650924990000000,475
,"1,253","1,268",VII,MORENO,Moreno,Teniente Camilli N° 511 esq. Libertad,Centro de Estimulación Temprana Lighuen,1744, ,-58.801256199999997,-34.640935700000000,476
,"1,254","1,269",VII,MORENO,Moreno,Avenida Evita N° 2759,C.A.P.I Consultorios,1744, ,-58.792059299999998,-34.643478090000002,477
,"1,255","1,270",VII,MORENO,Moreno,Intendente Pagano N°2832,CIDEPP Centro Integral de Psiquiatria y Psicologia-Centro de dia,1744, ,-58.788443899999997,-34.644484290000001,478
,"1,256","1,271",VII,MORENO,Moreno,Hipolito Yrigoyen N° 141,Consultorios Conurbano Salud,1744, ,-58.795102600000000,-34.650969990000000,479
,"1,257","1,272",VII,MORENO,Moreno,Rivadavia N° 230,Centro Pediátrico Crecer,1744, ,-58.753950400000001,-34.659912200000001,480
,"1,258","1,273",VII,MORENO,Moreno,Alvar Nunez N° 1477,Hogar y Centro de Día El Sol,1744, ,-58.791381999999999,-34.634009890000002,481
,"1,259","1,274",VII,MORENO,Moreno,Espana N° 421,Centro Médico Moreno OSPSIP(Policlínica),1744, ,-58.788300300000003,-34.645536090000000,482
,"1,260","1,275",VII,MORENO,Moreno,Dorrego N° 2766,Centro de Salud María Cristina Cournou,1744, ,-58.788019990000002,-34.645837989999997,483
,"1,276","1,291",VII,MORON,Castelar Sur,Maximo Paz N°634,Residencia del Sol,1712, ,-58.630569989999998,-34.633285890000003,484
,"1,277","1,292",VII,MORON,Castelar Sur,Espana N° 1547/49/51,Centro de Adelgazamiento Intensivo,1712, ,-58.630569989999998,-34.633285890000003,485
,"1,278","1,293",VII,MORON,Castelar Sur,Pasteur N° 2640,Instituto Geriátrico Castelar,1712, ,-58.630569989999998,-34.633285890000003,486
,"1,279","1,294",VII,MORON,Castelar Sur,Quintana N° 372,Hogar Geriátrico Solar Colonial,1712, ,-58.630569989999998,-34.633285890000003,487
,"1,280","1,295",VII,MORON,Castelar Sur,Chivilcoy N° 1431,Hogar Geriátrico Residencia Dr. Oscar Cabot,1712, ,-58.630569989999998,-34.633285890000003,488
,"1,281","1,296",VII,MORON,Castelar Sur,Monsenor Alfredo Bufano N° 3870,Comunidad Terapeutica Programa Despertares,1712, ,-58.630569989999998,-34.633285890000003,489
,"1,282","1,297",VII,MORON,Castelar Sur,Montes de Oca N° 2231,IPC Instituto Médico,1712,011-46296697,-58.630569989999998,-34.633285890000003,490
,"1,283","1,298",VII,MORON,Castelar Sur,Estanislao Lçopez N° 972/78,Instituto Geriátrico Maranata SRL,1712, ,-58.630569989999998,-34.633285890000003,491
,"1,284","1,299",VII,MORON,El Palomar,Urquiza N° 570 y Gral. Victorica N° 424/48,Hogar y Centro Día para Discapacitados Unión Ocho SA,1684, ,-58.595711299999998,-34.607616090000000,492
,"1,285","1,300",VII,MORON,Haedo,Avenida 2da. Rivadavia  N° 15577,Clínica Privada Doctores Marcelo S. Tachella S.A.,1706,011-44439622,-58.595642800000000,-34.644067589999999,493
,"1,286","1,301",VII,MORON,Haedo,Emilio Castro N° 729,Clínica Centro Médico Alcorta de Salud Asistencial S.A.,1706,011-50690107,-58.594997100000001,-34.651442590000002,494
,"1,287","1,302",VII,MORON,Haedo,La Fraternidad N° 114,Clínica de Ojos Oftal Medic,1706,011-44436638,-58.589621489999999,-34.642828090000002,495
,"1,288","1,303",VII,MORON,Haedo,Osvaldo Magnasco N° 748,Clínica Modelo del Oeste,1706,011-44438646,-58.599540089999998,-34.648245690000003,496
,"1,289","1,304",VII,MORON,Haedo,Juan B. Justo N° 80,Centro de Salud San Lucas,1706, ,-58.595175990000001,-34.643819190000002,497
,"1,290","1,305",VII,MORON,Haedo,Avenida Presidente Peron N° 752,Centro de Asistencia Terapéutica Interdisciplinaria Harmos,1706, ,-58.576263390000001,-34.638308989999999,498
,"1,291","1,306",VII,MORON,Haedo,E. Castro N° 1067,Consultorios de La Clínica Centro Médico Alcorta,1706, ,-58.597560489999999,-34.653761400000000,499
,"1,308","1,324",VII,MORON,Moron,25 De Mayo N°563/5,Consultorios Externos del Instituto Médico Constituyentes,1708,011-46281663,-58.619860090000003,-34.654421700000000,500
,"1,309","1,325",VII,MORON,Moron,Rauch N° 945,Policlínica L'altra Salud,1708, ,-58.616721190000000,-34.655861090000002,501
,"1,310","1,326",VII,MORON,Moron,Mendoza N° 45,Clínica de Ojos Dr. Nano,1708,011-44894100,-58.622617589999997,-34.647791990000002,502
,"1,311","1,327",VII,MORON,Moron,General M. Belgrano N° 125/129 2do. P,LANEMED (Ctro. de Diag. y Tratamiento),1708, ,-58.621191500000002,-34.649605000000001,503
,"1,312","1,328",VII,MORON,Moron,Intendente Garcia Silva N° 730,Policlínica OSECAC,1708, ,-58.618913589999998,-34.653874190000003,504
,"1,313","1,329",VII,MORON,Moron,Burgos N° 788,Hogar San José,1708, ,-58.626019100000001,-34.672108289999997,505
,"1,314","1,330",VII,MORON,Moron,Intendente Grant N° 575,Centro de Día San Lorenzo,1708, ,-58.623968689999998,-34.642744690000001,506
,"1,315","1,331",VII,MORON,Moron,Mariano Moreno N° 1063/71,Centro de Hemodialisis Fresenius Medical Care Argentina SA,1708, ,-58.623671500000000,-34.658358700000001,507
,"1,316","1,332",VII,MORON,Moron,Concordia N° 586,Residencia Santa Irene(Hogar Geriátrico),1708, ,-58.596886890000000,-34.649342799999999,508
,"1,317","1,333",VII,MORON,Moron,Buen Viaje N° 1370,Centro de Día Ideharcelas,1708, ,-58.627207589999998,-34.651586389999999,509
,"1,318","1,334",VII,MORON,Moron,Yatay N° 169,Policonsultorios Centro de Referencia Morón,1708, ,-58.615033189999998,-34.650232090000003,510
,"1,319","1,335",VII,MORON,Moron,Cordoba N° 1205,Centro de Diálisis Nefrología Haedo,1708, ,-58.604834599999997,-34.662488889999999,511
,"1,320","1,336",VII,MORON,Moron,Julian Perez N° 851,Instituto Blanquerna(Hogar Discapacitados),1708, ,-58.613017090000000,-34.656588999999997,512
,"1,321","1,337",VII,MORON,Moron,Republica Oriental del Uruguay N° 224,Clínica Modelo de Morón,1708, ,-58.617327690000003,-34.650841389999997,513
,"1,322","1,338",VII,MORON,Moron,9 de Julio N° 642,Centro Médico de OSMATA(Obra social de Sindicato de Mecánicos y afines a transporte Automotor),1708, ,-58.618470289999998,-34.655349999999999,514
,"1,323","1,339",VII,MORON,Moron,Constituyentes N° 1025,Policonsultorios Bristol Park S.A.,1708, ,-58.617832290000003,-34.644998389999998,515
,"1,324","1,340",VII,MORON,Moron,25 de Mayo N° 340,Centro Médico IMO(Policlínica),1708, ,-58.619835989999999,-34.652206900000003,516
,"1,430","1,448",V,PILAR,Pilar,Victor Vergani  N° 830,Clínica Gral. Obstetricia y Cirugia Nuestra Señora de Fátima S.A.,B1629ALJ,02322-420395,-58.908328990000001,-34.455905899999998,517
,"1,431","1,449",V,PILAR,Pilar,San Luis  N° 425,Clínica Privada San Marcos,B1629JQI,02322-430541,-58.906244200000003,-34.466829789999998,518
,"1,432","1,450",V,PILAR,Pilar,Moreno N° 565,Instituto Médico del Riñón SE.NE.MI.,1629, ,-58.912278790000002,-34.462631600000002,519
,"1,433","1,451",V,PILAR,Pilar,Independencia N° 384 PB,Consult.Ext.de la Cl.Gral.Obst.Cirug.Ntra.Sra.de Fátima,1629,02322-422166,-58.909113390000002,-34.460281999999999,520
,"1,434","1,452",V,PILAR,Pilar,Edificio Bureau Sur Local 8 Km. Panamericana Ramal Pilar,Centro Médico Los Pilares,1629,02322-644353,-58.864784860000000,-34.441343590000002,521
,"1,435","1,453",V,PILAR,Pilar,Lorenzo Lopez N° 882,Policlínica Proyecciones Radiológicas,1629,02322-428758,-58.917130989999997,-34.459475300000001,522
,"1,436","1,454",V,PILAR,Pilar,Alsina N° 741,Centro de Hemodiálisis Fresenius Medical Care Arg.,1629,02322-423820,-58.917526789999997,-34.459858990000001,523
,"1,437","1,455",V,PILAR,Pilar,Ruta 25 y ex Ruta 197,Clinica Psiquiatrica y Hogar de Dia Estancia del Pilar(Drogadependientes),1629, ,-58.855742909999996,-34.557318520000003,524
,"1,438","1,456",V,PILAR,Pilar,Intendente Luis Lagomarsino N° 2551,Policlínica Privada Centro Odontológico Robles del Pilar SRL,1629, ,-58.908328990000001,-34.455905899999998,525
,"1,439","1,457",V,PILAR,Pilar,Conrado N. Roxlo N° 70 y Guillermo Marconi N° 1580,Comunidad Terapéutica Programa Delta(Drogadependientes),1629, ,-58.894311199999997,-34.467789900000000,526
,"1,440","1,458",V,PILAR,Pilar,Valentin Gomez N° 1041,FAPIA(Hogar y Centro Educativo Terapéutico),1629, ,-58.799163489999998,-34.450961589999999,527
,"1,441","1,459",V,PILAR,Pilar,Vergani N° 843 Bo. San Alejo,Clínica CETRAI(Traumatología y Ortopedia),B1629ALI,02320430644,-58.910314190000001,-34.460812990000001,528
,"1,442","1,460",V,PILAR,Pilar,Avenida Tratado del Pilar  N° 271,ADN MEDICAL'S Servicio de Salud e Internación Domiciliaria,1629, ,-58.906561699999997,-34.450975700000001,529
,"1,443","1,461",V,PILAR,Pilar,San Martin N° 425,Hogar Geriátrico Reverendo Padre Silvio Braschi,1629, ,-58.914871290000001,-34.456119690000001,530
,"1,444","1,462",V,PILAR,Pilar,Martignone N°535,"Policlínico de la Obra Social del Personal de Aguas, Gaseosas y Afines OSPAGA",1629,02322-424658,-58.910709089999997,-34.464375199999999,531
